cat__Type of Travel_Personal Travel,cat__Class_Eco,remainder__id,remainder__Flight Distance,remainder__Inflight wifi service,remainder__Ease of Online booking,remainder__Online boarding,remainder__Seat comfort,remainder__Inflight entertainment,remainder__On-board service,remainder__Leg room service,remainder__Baggage handling,remainder__Cleanliness,Comfort_Per_Mile
0.0,1.0,82602.0,528.0,4.0,5.0,5.0,2.0,2.0,3.0,2.0,3.0,2.0,3.1847133757961785
1.0,1.0,7823.0,710.0,3.0,3.0,3.0,2.0,2.0,3.0,5.0,5.0,2.0,3.703703703703704
0.0,0.0,127781.0,3680.0,4.0,4.0,2.0,2.0,2.0,5.0,5.0,5.0,2.0,0.7936507936507936
0.0,0.0,121658.0,1543.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0432136335970785
0.0,1.0,20219.0,235.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,9.950248756218906
1.0,0.0,67551.0,1235.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,5.0,5.0,2.496878901373284
0.0,1.0,48994.0,308.0,2.0,3.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,7.352941176470588
0.0,1.0,70811.0,624.0,2.0,2.0,2.0,5.0,5.0,4.0,3.0,3.0,5.0,5.985267034990792
0.0,1.0,12312.0,192.0,5.0,2.0,4.0,2.0,5.0,5.0,5.0,5.0,4.0,12.557077625570772
0.0,0.0,51477.0,370.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,9.929078014184398
0.0,0.0,70990.0,802.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,2.956393200295639
1.0,1.0,101991.0,628.0,1.0,1.0,1.0,5.0,5.0,3.0,2.0,5.0,5.0,5.494505494505495
0.0,0.0,87447.0,373.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,5.0,4.0,7.047216349541932
0.0,1.0,16112.0,725.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,2.4242424242424243
0.0,0.0,106558.0,1024.0,1.0,1.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,3.262158956109133
0.0,0.0,70521.0,1889.0,2.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,2.0110608345902463
1.0,1.0,96283.0,460.0,2.0,2.0,3.0,4.0,5.0,5.0,2.0,4.0,2.0,4.761904761904761
0.0,0.0,117993.0,3295.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,1.1782032400589102
1.0,1.0,74703.0,1205.0,2.0,2.0,4.0,3.0,4.0,4.0,2.0,4.0,2.0,1.7879948914431671
1.0,0.0,110840.0,990.0,3.0,2.0,4.0,5.0,1.0,1.0,2.0,1.0,3.0,3.058103975535168
0.0,1.0,125877.0,520.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,5.913978494623656
0.0,1.0,83968.0,321.0,2.0,4.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,7.125890736342042
0.0,0.0,122719.0,651.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,6.657789613848203
0.0,0.0,45542.0,566.0,3.0,3.0,5.0,5.0,5.0,4.0,3.0,1.0,5.0,6.506506506506507
1.0,1.0,43742.0,626.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,5.0,5.968778696051423
1.0,1.0,122093.0,130.0,3.0,3.0,3.0,5.0,4.0,2.0,2.0,4.0,4.0,15.942028985507244
0.0,1.0,121454.0,331.0,2.0,2.0,2.0,1.0,1.0,4.0,3.0,4.0,1.0,3.8669760247486464
1.0,1.0,75235.0,1829.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,3.0,1.5552099533437014
1.0,1.0,88653.0,646.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,5.0,3.0,4.468275245755139
0.0,1.0,26594.0,404.0,4.0,1.0,4.0,4.0,4.0,3.0,1.0,3.0,4.0,5.9523809523809526
0.0,0.0,38339.0,2738.0,5.0,5.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,1.0570824524312896
1.0,0.0,46063.0,964.0,1.0,1.0,4.0,5.0,4.0,4.0,1.0,4.0,4.0,3.1328320802005014
0.0,0.0,27957.0,1660.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,1.325757575757576
1.0,1.0,17270.0,872.0,2.0,2.0,2.0,3.0,5.0,5.0,2.0,5.0,3.0,2.7434842249657065
1.0,0.0,41461.0,1242.0,3.0,3.0,3.0,5.0,1.0,1.0,3.0,1.0,4.0,2.980625931445604
0.0,0.0,15143.0,1042.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.335084646818447
1.0,0.0,78136.0,153.0,3.0,3.0,4.0,5.0,2.0,2.0,3.0,2.0,5.0,17.127799736495387
0.0,0.0,41440.0,913.0,1.0,2.0,2.0,3.0,4.0,3.0,2.0,1.0,4.0,2.961500493583415
1.0,1.0,15963.0,528.0,2.0,2.0,5.0,4.0,5.0,5.0,2.0,5.0,3.0,4.777070063694268
1.0,1.0,3608.0,999.0,2.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,3.3363663936912342
0.0,0.0,7744.0,489.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,3.961516694963215
0.0,1.0,21276.0,692.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,2.9461279461279464
1.0,1.0,53888.0,140.0,2.0,2.0,4.0,5.0,2.0,2.0,2.0,2.0,5.0,16.666666666666664
0.0,0.0,54151.0,1400.0,3.0,5.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0
0.0,1.0,115641.0,447.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,1.0,3.656307129798903
1.0,0.0,58584.0,334.0,2.0,2.0,2.0,5.0,5.0,2.0,4.0,3.0,5.0,10.75268817204301
0.0,0.0,102623.0,3696.0,1.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,1.2293642430628733
0.0,1.0,42287.0,329.0,1.0,0.0,3.0,3.0,4.0,4.0,1.0,4.0,1.0,3.8850038850038846
0.0,0.0,70467.0,2580.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,1.616915422885572
0.0,0.0,113346.0,3358.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0603431656063234
0.0,0.0,119896.0,912.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.952569169960474
1.0,0.0,88853.0,406.0,3.0,3.0,5.0,4.0,2.0,2.0,3.0,2.0,4.0,7.246376811594202
1.0,1.0,24895.0,397.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,4.0,5.0,9.389671361502348
0.0,0.0,31122.0,2409.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,1.328550551348479
1.0,1.0,91231.0,545.0,2.0,2.0,2.0,4.0,4.0,1.0,3.0,4.0,4.0,5.684754521963824
0.0,0.0,61426.0,2419.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0,4.0,1.323276432446738
0.0,1.0,68873.0,1061.0,2.0,2.0,2.0,4.0,4.0,1.0,4.0,2.0,4.0,3.445305770887166
1.0,1.0,125701.0,899.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,4.0,2.0,2.002002002002002
1.0,1.0,94999.0,293.0,4.0,4.0,4.0,5.0,5.0,2.0,2.0,4.0,5.0,10.178117048346056
1.0,1.0,56694.0,1085.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,3.375527426160337
0.0,0.0,62010.0,2475.0,5.0,5.0,5.0,4.0,2.0,2.0,2.0,2.0,5.0,1.4239482200647249
1.0,1.0,103418.0,237.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,6.92383778437191
0.0,0.0,8851.0,2668.0,5.0,4.0,4.0,4.0,4.0,5.0,2.0,5.0,4.0,1.2042389210019266
0.0,1.0,64241.0,1660.0,4.0,1.0,4.0,4.0,4.0,2.0,5.0,2.0,4.0,2.462121212121212
0.0,0.0,88237.0,2374.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,1.751549447588251
1.0,1.0,50619.0,209.0,3.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,1.0,7.551240560949299
1.0,0.0,54444.0,305.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,1.0,4.11522633744856
0.0,1.0,64765.0,247.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,3.0,1.0,2.8818443804034586
0.0,1.0,15941.0,338.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,6.088280060882799
0.0,0.0,14965.0,3200.0,1.0,1.0,5.0,5.0,5.0,4.0,5.0,2.0,5.0,1.5151515151515151
1.0,1.0,36897.0,1368.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,1.81653042688465
0.0,0.0,127954.0,1999.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,2.2232809274257583
0.0,0.0,27872.0,680.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,4.0,1.0,1.282051282051282
0.0,0.0,35854.0,537.0,2.0,2.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,5.756148613291471
1.0,0.0,47021.0,639.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,2.706359945872801
1.0,1.0,11224.0,201.0,3.0,3.0,3.0,5.0,2.0,5.0,2.0,1.0,2.0,9.966777408637872
1.0,1.0,69463.0,1096.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,1.672240802675585
0.0,0.0,47050.0,1680.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,4.0,3.0,1.49812734082397
0.0,0.0,30046.0,2746.0,2.0,2.0,5.0,2.0,4.0,4.0,4.0,4.0,5.0,1.2883579292574372
1.0,1.0,1256.0,89.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,5.0,5.0,21.164021164021165
1.0,0.0,73813.0,192.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,15.981735159817353
1.0,1.0,110928.0,404.0,3.0,3.0,4.0,4.0,5.0,5.0,3.0,5.0,2.0,5.9523809523809526
0.0,0.0,61571.0,2400.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,1.7333333333333332
0.0,0.0,73906.0,2342.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,5.0,2.0,0.9555009555009556
0.0,0.0,74090.0,3046.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,1.4833651197287565
1.0,1.0,76645.0,516.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,7.575757575757576
0.0,0.0,100462.0,759.0,3.0,3.0,3.0,2.0,2.0,4.0,2.0,5.0,2.0,2.328288707799768
0.0,1.0,54164.0,1400.0,2.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,2.0,1.5555555555555556
0.0,0.0,6147.0,491.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,7.332205301748448
1.0,1.0,1262.0,134.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,14.245014245014245
0.0,0.0,20310.0,900.0,5.0,5.0,5.0,1.0,1.0,4.0,3.0,5.0,1.0,1.6666666666666667
0.0,0.0,46896.0,3648.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,0.8893632159373888
0.0,1.0,44293.0,563.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,7.038712921065864
0.0,0.0,52496.0,3131.0,1.0,1.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,1.341174043123904
1.0,1.0,68263.0,631.0,3.0,2.0,3.0,4.0,5.0,5.0,2.0,5.0,1.0,3.1919744642042867
1.0,1.0,5289.0,351.0,4.0,4.0,4.0,1.0,1.0,1.0,5.0,4.0,1.0,5.17368810051737
0.0,0.0,109359.0,1189.0,5.0,3.0,4.0,5.0,2.0,2.0,2.0,2.0,3.0,2.585983966899405
1.0,1.0,94988.0,562.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,3.0,5.035246727089628
0.0,1.0,11005.0,158.0,4.0,4.0,4.0,2.0,2.0,1.0,5.0,2.0,2.0,11.627906976744184
0.0,1.0,14794.0,95.0,5.0,3.0,2.0,1.0,5.0,5.0,5.0,5.0,2.0,13.675213675213676
0.0,0.0,49480.0,266.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,8.19672131147541
0.0,1.0,120440.0,449.0,1.0,1.0,1.0,4.0,3.0,1.0,3.0,5.0,3.0,6.071645415907711
0.0,0.0,55823.0,1416.0,3.0,4.0,3.0,2.0,2.0,4.0,2.0,5.0,2.0,1.3192612137203166
0.0,0.0,80531.0,1678.0,1.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,5.0,2.0622422197225347
0.0,0.0,128145.0,1972.0,5.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,2.091377091377092
1.0,1.0,63370.0,337.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,2.0,6.864988558352402
1.0,1.0,12452.0,253.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,2.0,4.0,12.275731822474032
0.0,0.0,95746.0,3556.0,2.0,2.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,1.0940919037199124
0.0,1.0,41134.0,191.0,4.0,4.0,4.0,5.0,5.0,2.0,1.0,3.0,5.0,12.600229095074454
0.0,0.0,74101.0,641.0,5.0,5.0,5.0,2.0,2.0,5.0,5.0,4.0,2.0,4.048582995951417
0.0,1.0,106220.0,471.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,5.253940455341507
0.0,0.0,64475.0,282.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,9.598603839441536
0.0,0.0,123812.0,544.0,3.0,3.0,3.0,2.0,2.0,4.0,2.0,5.0,2.0,3.1055900621118013
0.0,0.0,88893.0,2955.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,1.3093289689034369
0.0,0.0,31244.0,2806.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.7205781142463867
1.0,1.0,97762.0,587.0,3.0,3.0,3.0,1.0,1.0,5.0,3.0,5.0,1.0,2.4260067928190203
0.0,0.0,59851.0,2073.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,1.9941708851050768
1.0,1.0,25137.0,1249.0,3.0,3.0,3.0,5.0,5.0,5.0,2.0,3.0,5.0,2.9651593773165303
0.0,1.0,87192.0,946.0,2.0,2.0,2.0,3.0,3.0,1.0,5.0,3.0,3.0,3.5054174633524533
1.0,1.0,91778.0,588.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,2.906976744186047
0.0,0.0,42609.0,2533.0,5.0,5.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,0.6329915179136599
1.0,1.0,67482.0,641.0,3.0,3.0,3.0,2.0,2.0,4.0,5.0,4.0,2.0,4.048582995951417
1.0,1.0,91108.0,581.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0,1.0,5.0,6.363191385217817
0.0,0.0,102318.0,223.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,8.255933952528379
0.0,0.0,51281.0,326.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,3.0,2.0,3.912363067292645
1.0,1.0,6528.0,599.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,2.861230329041488
0.0,0.0,121232.0,2075.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.9923371647509576
0.0,0.0,72478.0,964.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,4.072681704260651
0.0,1.0,122788.0,599.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,2.384358607534573
0.0,0.0,5528.0,3138.0,1.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,1.2353304508956149
1.0,1.0,107726.0,251.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,3.0,3.0,5.698005698005699
1.0,1.0,72606.0,1119.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,2.0,2.1875854525567404
0.0,1.0,75522.0,337.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,9.9160945842868
0.0,0.0,79908.0,2344.0,2.0,2.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,1.5002727768685216
0.0,0.0,117345.0,296.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,4.0,2.0,6.7340067340067336
0.0,1.0,44992.0,359.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.904865649963689
1.0,1.0,70631.0,1217.0,0.0,0.0,5.0,5.0,4.0,4.0,0.0,4.0,4.0,2.2779043280182227
0.0,0.0,12371.0,2903.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,0.666000666000666
0.0,0.0,8378.0,3170.0,5.0,5.0,5.0,5.0,5.0,1.0,3.0,3.0,5.0,1.325178389398573
0.0,0.0,107972.0,825.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,4.684684684684685
0.0,0.0,101228.0,2204.0,5.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,1.3020833333333333
0.0,0.0,85577.0,3464.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.122334455667789
1.0,1.0,2717.0,562.0,5.0,5.0,5.0,4.0,4.0,1.0,1.0,3.0,4.0,4.531722054380665
1.0,1.0,88529.0,404.0,5.0,5.0,5.0,3.0,3.0,4.0,2.0,4.0,3.0,5.29100529100529
0.0,0.0,88865.0,1968.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,3.0,4.0,1.6118633139909735
0.0,0.0,96960.0,2560.0,5.0,5.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,1.3784461152882204
0.0,0.0,51191.0,308.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,8.169934640522875
1.0,1.0,9461.0,362.0,4.0,5.0,4.0,5.0,3.0,3.0,5.0,3.0,4.0,10.101010101010102
1.0,1.0,41934.0,129.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,5.0,1.0,5.822416302765647
1.0,1.0,25381.0,591.0,2.0,2.0,2.0,3.0,5.0,4.0,4.0,4.0,5.0,5.788712011577425
0.0,0.0,14757.0,3692.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,0.7032348804500702
0.0,1.0,23590.0,1024.0,1.0,1.0,1.0,5.0,5.0,1.0,4.0,4.0,5.0,4.151838671411625
0.0,0.0,15069.0,576.0,4.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,2.0,4.437869822485207
0.0,1.0,54060.0,1416.0,5.0,2.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,2.858399296394019
0.0,0.0,129240.0,1464.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.131287297527707
1.0,1.0,97165.0,715.0,4.0,4.0,4.0,1.0,1.0,5.0,4.0,4.0,1.0,2.4539877300613497
0.0,0.0,1887.0,293.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,8.481764206955047
1.0,1.0,35719.0,2521.0,1.0,1.0,3.0,5.0,2.0,3.0,3.0,2.0,5.0,1.6533129848658272
0.0,0.0,85669.0,2544.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,1.13464447806354
1.0,1.0,1137.0,158.0,4.0,4.0,4.0,2.0,2.0,2.0,5.0,1.0,2.0,11.627906976744184
0.0,0.0,8358.0,1741.0,1.0,1.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,2.1727322107550244
0.0,0.0,17217.0,2651.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,1.454016721192294
1.0,1.0,96673.0,1036.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,4.401408450704225
0.0,1.0,80152.0,2586.0,1.0,3.0,1.0,1.0,3.0,5.0,2.0,3.0,1.0,0.4964010920824026
0.0,1.0,82277.0,1081.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,3.0,2.0,2.540220152413209
1.0,1.0,123927.0,646.0,2.0,2.0,2.0,3.0,3.0,4.0,1.0,3.0,3.0,3.127792672028597
0.0,0.0,115766.0,308.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,4.084967320261438
1.0,1.0,21134.0,227.0,4.0,0.0,0.0,2.0,2.0,3.0,4.0,4.0,2.0,8.154943934760448
0.0,0.0,28643.0,2176.0,2.0,2.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,1.6110134739308726
0.0,0.0,108010.0,271.0,0.0,0.0,0.0,1.0,1.0,5.0,4.0,4.0,1.0,5.390835579514825
0.0,0.0,92145.0,1522.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,2.6715988491574185
0.0,1.0,115846.0,325.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,3.0,5.0,11.76470588235294
1.0,1.0,119226.0,331.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,2.0,3.0,7.733952049497293
1.0,1.0,106552.0,727.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,4.0,3.6275695284159615
0.0,0.0,33426.0,2614.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,1.4738393515106851
0.0,0.0,70328.0,2498.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,1.5396458814472669
1.0,0.0,108398.0,1838.0,1.0,1.0,1.0,5.0,5.0,3.0,2.0,5.0,5.0,2.063983488132094
0.0,0.0,97316.0,3724.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,1.133193863319386
0.0,0.0,124811.0,280.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,6.140350877192983
0.0,0.0,23012.0,641.0,5.0,1.0,5.0,5.0,5.0,3.0,4.0,3.0,5.0,6.297795771479983
1.0,1.0,18088.0,488.0,3.0,3.0,4.0,5.0,5.0,5.0,3.0,5.0,3.0,6.235827664399093
1.0,0.0,37982.0,1237.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,5.0,5.0,2.991772625280478
0.0,1.0,31332.0,1062.0,1.0,1.0,1.0,3.0,3.0,4.0,1.0,4.0,3.0,2.0080321285140563
0.0,0.0,97455.0,2699.0,2.0,2.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,1.3099916636894129
0.0,0.0,107606.0,423.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,6.373486297004462
0.0,0.0,68232.0,2559.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,1.504324934185784
0.0,0.0,51224.0,373.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,1.0,3.0,7.047216349541932
0.0,1.0,31668.0,862.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,2.0,2.0,3.1185031185031185
0.0,0.0,95876.0,759.0,2.0,2.0,4.0,5.0,5.0,3.0,5.0,4.0,5.0,5.820721769499418
1.0,1.0,83516.0,946.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.2307202039515617
0.0,1.0,13221.0,772.0,4.0,3.0,4.0,4.0,4.0,2.0,1.0,4.0,4.0,3.440366972477064
0.0,0.0,100404.0,1011.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.3003300330033003
0.0,1.0,121453.0,257.0,2.0,2.0,2.0,1.0,5.0,1.0,5.0,1.0,5.0,10.27077497665733
0.0,1.0,21454.0,164.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,8.83838383838384
1.0,1.0,47540.0,590.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,6.76328502415459
0.0,0.0,57561.0,1597.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,1.9642506383814573
0.0,0.0,124103.0,2264.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,1.551043429216018
0.0,0.0,125736.0,814.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,1.0,5.0,4.37636761487965
1.0,1.0,93362.0,1024.0,3.0,3.0,3.0,4.0,4.0,1.0,1.0,4.0,4.0,2.669039145907473
0.0,0.0,95429.0,3276.0,0.0,0.0,5.0,4.0,3.0,3.0,3.0,3.0,5.0,1.1848341232227488
0.0,0.0,106943.0,2567.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,1.7497812773403325
0.0,0.0,119948.0,1009.0,2.0,2.0,2.0,3.0,3.0,3.0,5.0,4.0,3.0,3.3062819356777875
0.0,0.0,68342.0,1598.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,2.748331370239497
0.0,0.0,81029.0,1399.0,4.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.33555703802535
1.0,1.0,70371.0,1145.0,3.0,3.0,3.0,4.0,4.0,5.0,2.0,4.0,4.0,2.677376171352075
1.0,0.0,1386.0,282.0,0.0,0.0,0.0,3.0,4.0,4.0,4.0,4.0,4.0,9.598603839441536
